"","secchi.x","CA_insitu","blue_insit","green_insi","red_insitu","nir_insitu","CA","Blue","Green","Red","NIR","local.x","GLORIA_ID","region.x","sensor","Class","region"
"97",NA,NA,0.014687006685019,0.017223813256204,0.008151926419723,0.007789842719894,0.01,0.015286036509261,0.017579459239215,0.007460387957433,0.006304923070585,"AC_Claudia","AGID_144","Italy","ETM+","1","Italy"
"98",NA,NA,0.004100898743334,0.008436306675612,0.005995496848575,1.95821053e-07,0.01,0.008992254284692,0.010865507964884,0.007171521735721,0.000921507120502,"PACE","AGID_1499","US","ETM+",NA,"US"
"99",NA,NA,0.003087752444438,0.006739202210105,0.004943294558149,1.84799326e-07,0.01,0.007758007701014,0.00872089510672,0.00542957088358,0.002917310106874,"PACE","AGID_1503","US","ETM+",NA,"US"
"100",NA,NA,0.003446139250476,0.006696085338782,0.005245381154941,1.82702464e-07,0.01,0.007766761222884,0.00872964862859,0.004808070830806,0.002926063628744,"PACE","AGID_1570","US","ETM+",NA,"US"
"101",NA,NA,0.002833907495343,0.004908619783304,0.002567779375154,7.5682358e-08,0.01,0.007530416132393,0.007469141479303,0.003092380544276,0.002050711441739,"PACE","AGID_1582","US","ETM+",NA,"US"
"102",NA,NA,0.003023835792869,0.004901913451262,0.002531136384414,7.7889802e-08,0.01,0.007652965438574,0.006865148470269,0.003171162241106,0.002111986094829,"PACE","AGID_1598","US","ETM+",NA,"US"
"103",NA,NA,0.002676714530445,0.004572514394862,0.002249398115508,6.4202648e-08,0.01,0.007731747135404,0.006908916079619,0.003214929850456,0.00214700018231,"PACE","AGID_1620","US","ETM+",NA,"US"
"104",NA,NA,0.002729703376629,0.005000460715594,0.00278275320728,8.1403945e-08,0.01,0.007758007701014,0.007670472482314,0.00387144399071,0.00219076779166,"PACE","AGID_1634","US","ETM+",NA,"US"
"105",NA,NA,0.003311255878608,0.007023192039029,0.004923625376529,1.85280232e-07,0.01,0.008453912689684,0.008760285955136,0.00546458497106,0.002952324194355,"PACE","AGID_1638","US","ETM+",NA,"US"
"106",NA,NA,0.002883523451045,0.005493463374673,0.003220744803914,9.8160758e-08,0.01,0.007504155566783,0.007994352791506,0.004160310212422,0.002409605838411,"PACE","AGID_1641","US","ETM+",NA,"US"
"107",NA,NA,0.002918186941908,0.005599878334434,0.003413772740232,1.06972864e-07,0.01,0.008567708473994,0.008326986622568,0.0038451834251,0.002632820646098,"PACE","AGID_1660","US","ETM+",NA,"US"
"108",NA,NA,0.006958531200107,0.012009850546796,0.008735334432654,0.001514761292362,0.01,0.011031824880415,0.015592409774713,0.01028777552146,0.008291972535088,"AC_Claudia","AGID_167","Italy","ETM+","4","Italy"
"109",NA,NA,0.003002968141167,0.005814854189368,0.003576244489173,1.13806627e-07,0.01,0.008029366878986,0.008414521841269,0.004536711652834,0.002689718538253,"PACE","AGID_1674","US","ETM+",NA,"US"
"110",NA,NA,0.006563261269627,0.011275184776062,0.008127509968934,0.001257150707484,0.01,0.011031824880415,0.015592409774713,0.01028777552146,0.008291972535088,"AC_Claudia","AGID_168","Italy","ETM+","4","Italy"
"111",NA,NA,0.003023946675882,0.006361101567369,0.004276413106988,1.44587584e-07,0.01,0.008362000710048,0.009377409246974,0.004773056743326,0.002891049541264,"PACE","AGID_1686","US","ETM+",NA,"US"
"112",NA,NA,0.004632075528332,0.009567352054963,0.006161052014441,0.001146265712576,0.01,0.008957240197212,0.011985958764251,0.00710149356076,0.006838887904659,"AC_Claudia","AGID_171","Italy","ETM+","4","Italy"
"113",NA,NA,0.003168980546158,0.006528039048502,0.005836399433229,2.53314157e-07,0.01,0.00706647947328,0.008440782406879,0.006803873817179,0.007381606260602,"PACE","AGID_1714","US","ETM+",NA,"US"
"114",NA,NA,0.003867934784909,0.008724137858996,0.005612121339129,0.00094930223766,0.01,0.008957240197212,0.011985958764251,0.00710149356076,0.006838887904659,"AC_Claudia","AGID_172","Italy","ETM+","4","Italy"
"115",NA,NA,0.006692875213693,0.007879547884816,0.002445070071867,0.000488905285239,0.01,0.011381965755217,0.012423634857753,0.00550835258041,0.010165226215279,"AC_Claudia","AGID_179","Italy","ETM+","3","Italy"
"116",NA,NA,0.006647725974005,0.007895337256737,0.002452371042344,0.000482516880792,0.01,0.011381965755217,0.012423634857753,0.00550835258041,0.010165226215279,"AC_Claudia","AGID_180","Italy","ETM+","3","Italy"
"117",NA,NA,0.010054028836691,0.011941937734288,0.004036370430695,0.000974708195414,0.01,0.014647029412747,0.015784987255854,0.008467042972489,0.012178536245392,"AC_Claudia","AGID_181","Italy","ETM+","3","Italy"
"118",NA,NA,0.009156118239019,0.011091564488599,0.003631538237232,0.000925445808022,0.01,0.014647029412747,0.015784987255854,0.008467042972489,0.012178536245392,"AC_Claudia","AGID_182","Italy","ETM+","3","Italy"
"119",NA,NA,0.002708623907342,0.00711613581463,0.004917426142068,0.00176210994839,0.01,0.009788824774867,0.01343904339468,0.009972648734138,0.010769219224313,"AC_Claudia","AGID_194","Italy","ETM+","5","Italy"
"120",NA,NA,0.002708623907342,0.00711613581463,0.004917426142068,0.00176210994839,0.01,0.009123557112743,0.012948846169957,0.009552479684376,0.010436585393251,"AC_Claudia","AGID_194","Italy","ETM+","5","Italy"
"121",NA,NA,0.002977629585709,0.007351584746456,0.005097809844805,0.00185956982721,0.01,0.009788824774867,0.01343904339468,0.009972648734138,0.010769219224313,"AC_Claudia","AGID_195","Italy","ETM+","5","Italy"
"122",NA,NA,0.002977629585709,0.007351584746456,0.005097809844805,0.00185956982721,0.01,0.009123557112743,0.012948846169957,0.009552479684376,0.010436585393251,"AC_Claudia","AGID_195","Italy","ETM+","5","Italy"
"123",NA,NA,0.002886256464898,0.007435053056484,0.00508808099146,0.002211814258344,0.01,0.008904719065992,0.012432388379623,0.009972648734138,0.013325247610369,"AC_Claudia","AGID_196","Italy","ETM+","5","Italy"
"124",NA,NA,0.002886256464898,0.007435053056484,0.00508808099146,0.002211814258344,0.01,0.008108148575817,0.01186340945807,0.009499958553155,0.012975106735567,"AC_Claudia","AGID_196","Italy","ETM+","5","Italy"
